"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Shae Yanez","WAS","2019","17","0.00","-0.00","0.27","0.05","1.34","0.00","1.66"
"","Dijana Haracic","WAS","2018","191","0.00","-0.00","0.03","0.06","1.36","-0.00","1.45"
"","Michelle Betos","NJY","2022","95","0.00","-0.00","0.13","0.05","1.01","0.03","1.22"
"","Abby Smith","POR","2022","194","0.02","0.00","0.04","0.04","1.07","0.01","1.18"
"","Abby Smith","BOS","2016","131","0.00","-0.00","0.03","0.07","0.87","0.06","1.01"
"","Cassie Miller","CHI","2020","52","0.00","-0.01","0.06","0.04","0.81","0.00","0.90"
"","Britt Eckerstrom","POR","2020","605","0.00","0.00","-0.01","0.04","0.92","-0.06","0.89"
"","Emily Boyd","CHI","2020","48","-0.07","-0.00","0.04","-0.00","0.85","0.00","0.82"
"","Kaylie Collins","ORL","2022","99","0.02","-0.00","-0.01","0.00","0.74","0.01","0.76"
"","Michelle Betos","RGN","2019","390","0.01","-0.00","-0.03","0.06","0.69","0.00","0.73"
"","Kailen Sheridan","SD","2022","493","0.00","-0.00","0.05","0.10","0.57","0.00","0.73"
"","Michelle Betos","RGN","2018","773","0.00","-0.00","0.05","0.07","0.54","0.01","0.68"
"","Karen Bardsley","RGN","2021","671","-0.00","-0.00","0.00","0.05","0.63","-0.01","0.66"
"","Nicole Barnhart","UTA","2020","100","0.00","0.01","0.06","0.04","0.44","0.00","0.55"
"","Emily Boyd","CHI","2021","97","0.03","0.00","0.03","0.06","0.40","0.02","0.55"
"","Kailen Sheridan","NJY","2020","948","0.01","0.01","0.05","0.13","0.29","0.00","0.49"
"","Dijana Haracic","NJY","2019","490","0.00","-0.00","0.06","0.05","0.42","-0.04","0.48"
"","Caroline Stanley","ORL","2017","72","-0.13","-0.00","0.02","0.02","0.57","0.00","0.48"
"","Britt Eckerstrom","WNY","2016","288","-0.05","0.00","0.03","-0.00","0.46","0.00","0.45"
"","Caroline Casey","NJY","2017","192","-0.26","-0.00","0.04","0.05","0.60","0.00","0.44"
"","Cassie Miller","KC","2022","199","0.00","-0.00","0.03","0.07","0.31","0.01","0.42"
"","Kailen Sheridan","NJY","2021","1673","0.01","-0.00","-0.00","0.08","0.30","0.02","0.40"
"","Alyssa Naeher","CHI","2020","1005","-0.00","0.00","0.02","0.07","0.34","-0.05","0.39"
"","Kailen Sheridan","NJY","2019","1849","0.00","0.01","0.04","0.09","0.25","0.00","0.38"
"","Adrianna Franch","POR","2017","2522","0.00","0.00","0.02","0.06","0.26","0.00","0.36"
"","Aubrey Bledsoe","WAS","2018","2042","0.00","-0.01","0.04","0.07","0.24","0.02","0.35"
"","Casey Murphy","NC","2021","2575","0.00","0.00","-0.00","0.07","0.25","0.01","0.33"
"","Sammy Jo Prudhomme","BOS","2017","484","-0.00","0.00","0.06","0.04","0.23","0.00","0.33"
"","Dijana Haracic","NJY","2021","1238","0.00","-0.00","-0.00","0.06","0.24","0.01","0.31"
"","Bella Bixby","POR","2020","399","0.00","-0.00","-0.02","0.05","0.25","0.01","0.30"
"","Abby Smith","BOS","2017","1837","0.01","-0.01","0.01","0.07","0.20","-0.00","0.28"
"","Lydia Williams","RGN","2018","1680","0.00","-0.02","0.01","0.06","0.23","-0.01","0.26"
"","Michelle Betos","RGN","2020","301","0.00","-0.01","0.03","0.04","0.16","0.03","0.25"
"","Aubrey Bledsoe","WAS","2021","2925","-0.00","-0.01","0.01","0.06","0.18","0.00","0.24"
"","Aubrey Bledsoe","WAS","2019","2321","0.00","-0.00","0.02","0.08","0.14","-0.01","0.24"
"","Adrianna Franch","POR","2018","1566","0.00","0.00","0.03","0.05","0.16","-0.01","0.23"
"","Haley Kopmeyer","ORL","2018","289","0.00","0.00","0.05","0.05","0.11","-0.00","0.21"
"","Aubrey Bledsoe","WAS","2022","839","0.00","-0.04","0.04","0.03","0.17","0.01","0.21"
"","Casey Murphy","RGN","2020","598","0.01","0.00","0.03","0.06","0.08","0.01","0.19"
"","Aubrey Bledsoe","WAS","2020","894","0.00","0.00","0.03","0.09","0.06","-0.00","0.18"
"","Katelyn Rowland","NC","2017","1764","0.01","-0.00","0.03","0.05","0.07","0.02","0.17"
"","Haley Kopmeyer","RGN","2017","1941","-0.02","-0.00","-0.00","0.06","0.15","-0.01","0.17"
"","Aubrey Bledsoe","ORL","2017","1079","0.00","0.01","0.03","0.06","0.09","-0.02","0.17"
"","Kailen Sheridan","NJY","2018","2233","0.01","-0.02","0.02","0.08","0.10","-0.02","0.16"
"","Ashlyn Harris","NJY","2022","584","0.01","0.00","0.02","0.02","0.08","0.01","0.16"
"","Emily Boyd","CHI","2018","196","0.00","0.00","0.02","0.06","0.08","-0.01","0.16"
"","Michelle Betos","LOU","2021","2386","-0.00","-0.00","0.01","0.03","0.11","0.01","0.15"
"","Sabrina D'Angelo","NC","2018","676","0.00","0.00","-0.02","0.05","0.04","0.06","0.14"
"","Alyssa Naeher","CHI","2022","683","0.00","0.00","0.02","0.05","0.12","-0.06","0.13"
"","Ashlyn Harris","ORL","2021","2258","-0.00","0.00","-0.00","0.04","0.09","0.00","0.13"
"","Alyssa Naeher","CHI","2017","2231","0.00","0.00","0.03","0.07","0.02","0.00","0.12"
"","Adrianna Franch","KC, POR","2021","1981","0.00","0.00","0.01","0.05","0.03","0.01","0.12"
"","Alyssa Naeher","CHI","2019","1560","0.00","0.01","0.01","0.06","0.01","0.02","0.12"
"","Jane Campbell","HOU","2021","1978","-0.00","-0.01","0.02","0.06","0.06","-0.01","0.11"
"","Ella Dederick","RGN","2021","136","0.02","0.00","0.04","0.04","-0.01","0.02","0.11"
"","Ashlyn Harris","ORL","2020","300","0.00","-0.00","0.06","0.04","-0.00","0.00","0.10"
"","Sarah Bouhaddi","RGN","2021","1938","0.01","-0.00","0.02","0.06","0.01","0.00","0.10"
"","Katie Lund","LOU","2021","393","0.00","0.00","-0.04","0.05","0.08","-0.01","0.09"
"","Alyssa Naeher","CHI","2016","1372","-0.01","0.00","-0.03","0.06","0.06","0.00","0.08"
"","Bella Bixby","POR","2021","1681","-0.00","-0.00","0.01","0.04","0.03","0.00","0.07"
"","Katie Lund","LOU","2022","588","0.00","0.00","-0.00","0.05","0.03","-0.01","0.07"
"","Nicole Barnhart","UTA","2019","2337","0.00","-0.01","-0.01","0.05","0.04","-0.00","0.07"
"","Haley Kopmeyer","ORL","2019","981","0.00","-0.06","-0.02","0.05","0.06","0.03","0.07"
"","Haley Kopmeyer","RGN","2016","1004","-0.01","-0.00","0.01","0.05","0.02","-0.00","0.06"
